relative_jpg,requested_utc,returned_utc,offset_seconds,helioviewer_id,jp2_sha256,status,reason
2015/03/01/HMI.m2015.03.01_12.00.00.jpg,2015-03-01T12:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/01/HMI.m2015.03.01_15.00.00.jpg,2015-03-01T15:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/01/HMI.m2015.03.01_20.00.00.jpg,2015-03-01T20:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/01/HMI.m2015.03.01_22.00.00.jpg,2015-03-01T22:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/02/HMI.m2015.03.02_02.00.00.jpg,2015-03-02T02:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/02/HMI.m2015.03.02_05.00.00.jpg,2015-03-02T05:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/02/HMI.m2015.03.02_06.00.00.jpg,2015-03-02T06:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/02/HMI.m2015.03.02_10.00.00.jpg,2015-03-02T10:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/02/HMI.m2015.03.02_13.00.00.jpg,2015-03-02T13:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/02/HMI.m2015.03.02_18.00.00.jpg,2015-03-02T18:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/02/HMI.m2015.03.02_22.00.00.jpg,2015-03-02T22:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/02/HMI.m2015.03.02_23.00.00.jpg,2015-03-02T23:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/03/HMI.m2015.03.03_23.00.00.jpg,2015-03-03T23:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/04/HMI.m2015.03.04_05.00.00.jpg,2015-03-04T05:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/04/HMI.m2015.03.04_18.00.00.jpg,2015-03-04T18:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/04/HMI.m2015.03.04_22.00.00.jpg,2015-03-04T22:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/04/HMI.m2015.03.04_23.00.00.jpg,2015-03-04T23:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/05/HMI.m2015.03.05_03.00.00.jpg,2015-03-05T03:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/05/HMI.m2015.03.05_06.00.00.jpg,2015-03-05T06:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/05/HMI.m2015.03.05_12.00.00.jpg,2015-03-05T12:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/05/HMI.m2015.03.05_16.00.00.jpg,2015-03-05T16:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/05/HMI.m2015.03.05_17.00.00.jpg,2015-03-05T17:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/05/HMI.m2015.03.05_18.00.00.jpg,2015-03-05T18:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/05/HMI.m2015.03.05_19.00.00.jpg,2015-03-05T19:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/05/HMI.m2015.03.05_20.00.00.jpg,2015-03-05T20:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/05/HMI.m2015.03.05_21.00.00.jpg,2015-03-05T21:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/05/HMI.m2015.03.05_22.00.00.jpg,2015-03-05T22:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/06/HMI.m2015.03.06_01.00.00.jpg,2015-03-06T01:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/06/HMI.m2015.03.06_05.00.00.jpg,2015-03-06T05:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/06/HMI.m2015.03.06_11.00.00.jpg,2015-03-06T11:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/06/HMI.m2015.03.06_23.00.00.jpg,2015-03-06T23:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/07/HMI.m2015.03.07_02.00.00.jpg,2015-03-07T02:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/07/HMI.m2015.03.07_04.00.00.jpg,2015-03-07T04:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/07/HMI.m2015.03.07_05.00.00.jpg,2015-03-07T05:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/07/HMI.m2015.03.07_06.00.00.jpg,2015-03-07T06:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/07/HMI.m2015.03.07_08.00.00.jpg,2015-03-07T08:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/07/HMI.m2015.03.07_09.00.00.jpg,2015-03-07T09:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/07/HMI.m2015.03.07_12.00.00.jpg,2015-03-07T12:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/07/HMI.m2015.03.07_14.00.00.jpg,2015-03-07T14:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/07/HMI.m2015.03.07_15.00.00.jpg,2015-03-07T15:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/07/HMI.m2015.03.07_17.00.00.jpg,2015-03-07T17:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/07/HMI.m2015.03.07_18.00.00.jpg,2015-03-07T18:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/07/HMI.m2015.03.07_19.00.00.jpg,2015-03-07T19:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/08/HMI.m2015.03.08_18.00.00.jpg,2015-03-08T18:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/08/HMI.m2015.03.08_19.00.00.jpg,2015-03-08T19:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/08/HMI.m2015.03.08_22.00.00.jpg,2015-03-08T22:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/08/HMI.m2015.03.08_23.00.00.jpg,2015-03-08T23:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/09/HMI.m2015.03.09_00.00.00.jpg,2015-03-09T00:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/09/HMI.m2015.03.09_01.00.00.jpg,2015-03-09T01:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/09/HMI.m2015.03.09_03.00.00.jpg,2015-03-09T03:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/09/HMI.m2015.03.09_04.00.00.jpg,2015-03-09T04:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/09/HMI.m2015.03.09_09.00.00.jpg,2015-03-09T09:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/09/HMI.m2015.03.09_10.00.00.jpg,2015-03-09T10:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/09/HMI.m2015.03.09_12.00.00.jpg,2015-03-09T12:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/09/HMI.m2015.03.09_15.00.00.jpg,2015-03-09T15:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/09/HMI.m2015.03.09_23.00.00.jpg,2015-03-09T23:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/10/HMI.m2015.03.10_01.00.00.jpg,2015-03-10T01:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/10/HMI.m2015.03.10_05.00.00.jpg,2015-03-10T05:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/10/HMI.m2015.03.10_06.00.00.jpg,2015-03-10T06:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/10/HMI.m2015.03.10_13.00.00.jpg,2015-03-10T13:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/10/HMI.m2015.03.10_14.00.00.jpg,2015-03-10T14:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/10/HMI.m2015.03.10_22.00.00.jpg,2015-03-10T22:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/11/HMI.m2015.03.11_00.00.00.jpg,2015-03-11T00:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/11/HMI.m2015.03.11_05.00.00.jpg,2015-03-11T05:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/11/HMI.m2015.03.11_06.00.00.jpg,2015-03-11T06:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/11/HMI.m2015.03.11_10.00.00.jpg,2015-03-11T10:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/11/HMI.m2015.03.11_20.00.00.jpg,2015-03-11T20:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/11/HMI.m2015.03.11_23.00.00.jpg,2015-03-11T23:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/12/HMI.m2015.03.12_01.00.00.jpg,2015-03-12T01:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/12/HMI.m2015.03.12_05.00.00.jpg,2015-03-12T05:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/12/HMI.m2015.03.12_08.00.00.jpg,2015-03-12T08:00:00Z,,,,,skipped_existing,destination JPEG already exists
2015/03/12/HMI.m2015.03.12_11.00.00.jpg,2015-03-12T11:00:00Z,,,,,skipped_existing,destination JPEG already exists
