global_epoch,training_stage,stage_epoch,train_accuracy,train_precision,train_recall,train_f1,train_tss,train_hss,train_tp,train_tn,train_fp,train_fn,train_loss,train_classification_loss,train_ewc_loss,holdout_accuracy,holdout_precision,holdout_recall,holdout_f1,holdout_tss,holdout_hss,holdout_tp,holdout_tn,holdout_fp,holdout_fn,holdout_loss,learning_rate,epoch_seconds
38,2,8,0.8104338842975206,0.8342602892102335,0.7747933884297521,0.8034279592929833,0.6208677685950413,0.6208677685950413,7500,8190,1490,2180,0.40897243949007395,0.40707912243102207,0.001893317334985068,0.6817427385892116,0.1625916870415648,0.6186046511627907,0.2575024201355276,0.3065317582242941,0.13533602458613803,133,1510,685,82,0.6284213796196142,0.001,24.709607945755124
39,2,9,0.8121384297520661,0.8368074908037008,0.7755165289256198,0.8049970510964559,0.6242768595041323,0.6242768595041323,7507,8216,1464,2173,0.40800858903522336,0.4059123169292103,0.0020962723923369873,0.8829875518672199,0.31891891891891894,0.2744186046511628,0.295,0.21701541558510357,0.23159025383006387,59,2069,126,156,0.3776323889795675,0.001,24.65985087491572
40,2,10,0.8152892561983471,0.8404730031236055,0.778305785123967,0.8081956661660589,0.6305785123966943,0.6305785123966943,7534,8250,1430,2146,0.4025249976757144,0.40026146597113493,0.0022635304349790182,0.6975103734439834,0.16795865633074936,0.6046511627906976,0.26289180990899896,0.3112570853419505,0.14326049535030014,130,1551,644,85,0.6092961116450456,0.001,24.582701794803143
41,2,11,0.8146177685950413,0.8367798297025324,0.7817148760330579,0.8083106339795973,0.6292355371900826,0.6292355371900826,7567,8204,1476,2113,0.4003535359851585,0.39789842554360383,0.0024551093393613485,0.9033195020746888,0.3815789473684211,0.13488372093023257,0.19931271477663232,0.11347142024686127,0.16017827498018336,29,2148,47,186,0.31118048863539555,0.001,24.68552076909691
42,2,12,0.8223140495867769,0.8475161505903319,0.7860537190082645,0.8156286847464895,0.6446280991735538,0.6446280991735537,7609,8311,1369,2071,0.3943110838901898,0.39161235172886494,0.002698732294480909,0.5203319502074689,0.11591836734693878,0.6604651162790698,0.19722222222222222,0.16707103883032265,0.05356954801012349,142,1112,1083,73,0.7808178953610021,0.001,24.74578404519707
43,2,13,0.8220557851239669,0.8442088991939936,0.7898760330578513,0.8161391898382879,0.6441115702479339,0.6441115702479339,7646,8269,1411,2034,0.3919694047821455,0.3891364306457772,0.0028329739812761544,0.46804979253112033,0.11143481427530955,0.7116279069767442,0.19269521410579346,0.1558192509402977,0.04543839539776747,153,975,1220,62,0.9140858093237976,0.001,24.67558262683451
44,2,14,0.8256714876033058,0.8503945759697678,0.7903925619834711,0.8192964608877229,0.6513429752066116,0.6513429752066116,7651,8334,1346,2029,0.38659764809056746,0.38354341993647173,0.003054227720376504,0.45228215767634855,0.11173576950105411,0.7395348837209302,0.19413919413919414,0.16368066959792338,0.04631425582113446,159,931,1264,56,0.9457672945196698,0.001,24.6820969581604
45,2,15,0.834142561983471,0.8590298590298591,0.7994834710743801,0.8281877039970035,0.6682851239669421,0.6682851239669422,7739,8410,1270,1941,0.37617887167398595,0.3729428686878898,0.0032360023972847736,0.9016597510373444,0.3854166666666667,0.17209302325581396,0.2379421221864952,0.14521375218519894,0.19352470242717762,37,2136,59,178,0.3373622382824846,0.001,24.697574427351356
46,2,16,0.8320764462809918,0.8557830658550083,0.7987603305785124,0.8262890729361475,0.6641528925619835,0.6641528925619835,7732,8377,1303,1948,0.37691781811477726,0.3735075573783275,0.0034102596100111884,0.4070539419087137,0.1073738680465718,0.772093023255814,0.18852924474730268,0.14339142872278432,0.03781260215185948,166,815,1380,49,1.0430317680865402,0.001,24.60520383156836
47,2,17,0.8338326446280991,0.8579023147635397,0.800206611570248,0.8280506708001496,0.6676652892561984,0.6676652892561984,7746,8397,1283,1934,0.3729491579138543,0.36930926644112455,0.003639892547599171,0.6103734439834025,0.1394422310756972,0.6511627906976745,0.22969647251845773,0.2575409228161255,0.09699649251617073,140,1331,864,75,0.7497606445150257,0.001,24.715330528095365
